Title,Authors,Publication Date,Journallink,Journal
Equity Incentive Plans and Board of Director Discretion over Equity Grants,BRIAN CADMAN; RICHARD CARRIZOSA,12 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12532,Journal of Accounting Research
Bank Supervision and Organizational Capital: The Case of Minority Lending,BYEONGCHAN AN; ROBERT BUSHMAN; ANYA KLEYMENOVA; RIMMY E. TOMY,5 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12529,Journal of Accounting Research
How Does Management Voluntary Disclosure Behavior Influence Auditors’ Judgments?,SEAN M. HILLISON; KAMBER D. VITTORI,5 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12531,Journal of Accounting Research
The Real Effects of Supply Chain Transparency Regulation: Evidence from Section 1502 of the Dodd–Frank Act,BOK BAIK; OMRI EVEN-TOV; RUSSELL HAN; DAVID PARK,29 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12530,Journal of Accounting Research
"Wrong Kind of Transparency? Mutual Funds’ Higher Reporting Frequency, Window Dressing, and Performance",XIANGANG XIN; P. ERIC YEUNG; ZILONG ZHANG,20 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12527,Journal of Accounting Research
Economics of Information Search and Financial Misreporting,JUNG MIN KIM,14 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12528,Journal of Accounting Research
Payment Practices Transparency and Customer‐Supplier Dynamics,JODY GREWAL; ADITYA MOHAN; GERARDO PÉREZ-CAVAZOS,7 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12521,Journal of Accounting Research
Earnings News and Over‐the‐Counter Markets,STEFAN J. HUBER; CHONGHO KIM; EDWARD M. WATTS,7 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12522,Journal of Accounting Research
Fraud Power Laws,EDWIGE CHEYNEL; DAVIDE CIANCIARUSO; FRANK S. ZHOU,30 December 2023,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12520,Journal of Accounting Research
Occupational Licensing and Minority Participation in Professional Labor Markets,ANDREW G. SUTHERLAND; MATTHIAS UCKERT; FELIX W. VETTER,12 December 2023,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12518,Journal of Accounting Research
Oligarchy in professional accounting bodies: Challenges for governance and leader‐member relations,Conor Clune; Paul Andon,13 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1911-3846.12946,Contemporary Accounting Research (CAR)
"Accounting and silence: The unspeakable, the unsaid, and the inaudible",Caecilia Drujon d'Astros; Jérémy Morales; Bernard Leca,10 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1911-3846.12944,Contemporary Accounting Research (CAR)
Shareholder perceptions of external tax advisors in corporate tax planning,Michael P. Donohoe; Brian T. Gale; Michael A. Mayberry,10 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1911-3846.12945,Contemporary Accounting Research (CAR)
CAR Ad Hoc Reviewers 2023/RCC Réviseurs ad hoc 2023,,6 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1911-3846.12939,Contemporary Accounting Research (CAR)
Data analytics strategy and internal information quality,Katie W. Lem,4 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1911-3846.12942,Contemporary Accounting Research (CAR)
AMERICAN FINANCE ASSOCIATION,,15 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jofi.13145,The Journal of Finance
Report of the 2024 Annual Membership Meeting,,15 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jofi.13326,The Journal of Finance
"Report of the Executive Secretary and Treasurer for the Fiscal Year Ending June 30, 2023",,15 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jofi.13327,The Journal of Finance
BRATTLE GROUP AND DIMENSIONAL FUND ADVISORS PRIZES FOR 2023,,15 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jofi.13328,The Journal of Finance
Report of the Editor of The Journal of Finance for the Year 2023,ANTOINETTE SCHOAR,15 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jofi.13329,The Journal of Finance
Title,Authors,Publication Date,Journal
"Accounting, reporting and verification of impact: Implications for sustainability: A commentary on Adams et al. (2023) “Styles of verification and the pursuit of organisational repair: The case of social impact”",Matias Laine,"In Press, Corrected Proof, Available online 3 January 2024",AOS-Accounting Organizations and Society
Discussion of “Do green business practices license self-dealing or prime prosociality? Cross-domain evidence from environmental concern triggers”,Khrystyna Bochkay,"In Press, Corrected Proof, Available online 3 January 2024",AOS-Accounting Organizations and Society
Catch me if you match! A discussion of auditors' involvement in clients’ sustainability reporting,Betrand Malsch,"In Press, Corrected Proof, Available online 3 January 2024",AOS-Accounting Organizations and Society
"Commentary: On theory, data, and interpreting results in political CSR research: Reflecting on “Do firms put their money where their mouth is? Sociopolitical claims and corporate political activity”",Robin W. Roberts,"In Press, Corrected Proof, Available online 2 January 2024",AOS-Accounting Organizations and Society
"CSR disclosures in buyer-seller markets: Research design issues, greenwashing and regulatory implications, and directions for future research",Sandra C. Vera-Muñoz,"In Press, Corrected Proof, Available online 25 December 2023",AOS-Accounting Organizations and Society
Learning in the auditing profession: A framework and future directions,"Bart Dierynck, Kathryn Kadous, Christian P.H. Peters","In Press, Corrected Proof, Available online 12 December 2023",AOS-Accounting Organizations and Society
The interdependence between the choice of fixed-term professional workers and the control environment,"Sujay Nair, Margaret A. Abernethy, Yile (Anson) Jiang, Anne M. Lillis","In Press, Corrected Proof, Available online 1 December 2023",AOS-Accounting Organizations and Society
The effects of strategic alignment and strategic clarity on multidimensional task performance,"Steven D. Smith, Tyler F. Thomas","In Press, Corrected Proof, Available online 4 November 2023",AOS-Accounting Organizations and Society
"Audit partner facial traits, gender, and career outcomes","Yuzhou Chen, Chezham L. Sealy, Quinn T. Swanquist, Robert L. Whited","In Press, Corrected Proof, Available online 13 October 2023",AOS-Accounting Organizations and Society
Accounting for GDP– A study of epistemic strategies when calculating the quarterly economy,Sabina Du Rietz,"In Press, Corrected Proof, Available online 10 October 2023",AOS-Accounting Organizations and Society
Memories lost: A history of accounting records as forms of projection,"Nadia Matringe, Michael Power","In Press, Corrected Proof, Available online 10 October 2023",AOS-Accounting Organizations and Society
Auditor sustainability focus and client sustainability reporting,"Manlu Liu, Jing Tang, Stephanie Walton, Yiyang Zhang, Xinlei Zhao","In Press, Corrected Proof, Available online 7 October 2023",AOS-Accounting Organizations and Society
Investor reactions to apologies for financial misconduct,"Fynn Ohlrogge, Kris Hardies, An-Sofie Claeys","In Press, Corrected Proof, Available online 4 October 2023",AOS-Accounting Organizations and Society
Experimental research on standard-setting issues in financial reporting,"Lisa Koonce, Cassie Mongold, Laura Quaid, Brian J. White","In Press, Corrected Proof, Available online 3 October 2023",AOS-Accounting Organizations and Society
Do firms put their money where their mouth is? Sociopolitical claims and corporate political activity,"Susanne Preuss, Malte M. Max","In Press, Corrected Proof, Available online 27 September 2023",AOS-Accounting Organizations and Society
CSR disclosures in buyer-seller markets: The impact of assurance of CSR disclosures and incentives for CSR investments,"Karen J. De Meyst, Eddy Cardinaels, Alexandra Van den Abbeele","In Press, Corrected Proof, Available online 30 August 2023",AOS-Accounting Organizations and Society
Do green business practices license self-dealing or prime prosociality? Cross-domain evidence from environmental concern triggers,"Melanie I. Millar, Thomas D. Shohfi, Mason C. Snow, Roger M. White","In Press, Corrected Proof, Available online 19 August 2023",AOS-Accounting Organizations and Society
Styles of verification and the pursuit of organisational repair: The case of social impact,"Sarah Adams, Matthew Hall, Xinning Xiao","In Press, Corrected Proof, Available online 27 June 2023",AOS-Accounting Organizations and Society
Discussion of “The ESG stopping effect: Do investor reactions differ across the lifespan of ESG initiatives?”,Donald Young,"In Press, Corrected Proof, Available online 15 May 2023",AOS-Accounting Organizations and Society
The ESG stopping effect: Do investor reactions differ across the lifespan of ESG initiatives?,"Shannon Garavaglia, Ben W. Van Landuyt, Brian J. White, Julie Irwin","In Press, Corrected Proof, Available online 3 February 2023",AOS-Accounting Organizations and Society
Standing on the shoulders of giants: Financial reporting comparability and knowledge accumulation,"Kevin Tseng, Rong (Irene) Zhong","In Press, Corrected Proof, Available online 17 February 2024",JAE-Journal of Accounting and Economics
