Title,Authors,Publication Date,Journallink,Journal
"Accounting, reporting and verification of impact: Implications for sustainability: A commentary on Adams et al. (2023) “Styles of verification and the pursuit of organisational repair: The case of social impact”",Matias Laine,"In Press, Corrected Proof, Available online 3 January 2024",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Discussion of “Do green business practices license self-dealing or prime prosociality? Cross-domain evidence from environmental concern triggers”,Khrystyna Bochkay,"In Press, Corrected Proof, Available online 3 January 2024",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Catch me if you match! A discussion of auditors' involvement in clients’ sustainability reporting,Betrand Malsch,"In Press, Corrected Proof, Available online 3 January 2024",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
"Commentary: On theory, data, and interpreting results in political CSR research: Reflecting on “Do firms put their money where their mouth is? Sociopolitical claims and corporate political activity”",Robin W. Roberts,"In Press, Corrected Proof, Available online 2 January 2024",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
"CSR disclosures in buyer-seller markets: Research design issues, greenwashing and regulatory implications, and directions for future research",Sandra C. Vera-Muñoz,"In Press, Corrected Proof, Available online 25 December 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Learning in the auditing profession: A framework and future directions,"Bart Dierynck, Kathryn Kadous, Christian P.H. Peters","In Press, Corrected Proof, Available online 12 December 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
The interdependence between the choice of fixed-term professional workers and the control environment,"Sujay Nair, Margaret A. Abernethy, Yile (Anson) Jiang, Anne M. Lillis","In Press, Corrected Proof, Available online 1 December 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
The effects of strategic alignment and strategic clarity on multidimensional task performance,"Steven D. Smith, Tyler F. Thomas","In Press, Corrected Proof, Available online 4 November 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
"Audit partner facial traits, gender, and career outcomes","Yuzhou Chen, Chezham L. Sealy, Quinn T. Swanquist, Robert L. Whited","In Press, Corrected Proof, Available online 13 October 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Accounting for GDP– A study of epistemic strategies when calculating the quarterly economy,Sabina Du Rietz,"In Press, Corrected Proof, Available online 10 October 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Memories lost: A history of accounting records as forms of projection,"Nadia Matringe, Michael Power","In Press, Corrected Proof, Available online 10 October 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Auditor sustainability focus and client sustainability reporting,"Manlu Liu, Jing Tang, Stephanie Walton, Yiyang Zhang, Xinlei Zhao","In Press, Corrected Proof, Available online 7 October 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Investor reactions to apologies for financial misconduct,"Fynn Ohlrogge, Kris Hardies, An-Sofie Claeys","In Press, Corrected Proof, Available online 4 October 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Experimental research on standard-setting issues in financial reporting,"Lisa Koonce, Cassie Mongold, Laura Quaid, Brian J. White","In Press, Corrected Proof, Available online 3 October 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Do firms put their money where their mouth is? Sociopolitical claims and corporate political activity,"Susanne Preuss, Malte M. Max","In Press, Corrected Proof, Available online 27 September 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
CSR disclosures in buyer-seller markets: The impact of assurance of CSR disclosures and incentives for CSR investments,"Karen J. De Meyst, Eddy Cardinaels, Alexandra Van den Abbeele","In Press, Corrected Proof, Available online 30 August 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Do green business practices license self-dealing or prime prosociality? Cross-domain evidence from environmental concern triggers,"Melanie I. Millar, Thomas D. Shohfi, Mason C. Snow, Roger M. White","In Press, Corrected Proof, Available online 19 August 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Styles of verification and the pursuit of organisational repair: The case of social impact,"Sarah Adams, Matthew Hall, Xinning Xiao","In Press, Corrected Proof, Available online 27 June 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Discussion of “The ESG stopping effect: Do investor reactions differ across the lifespan of ESG initiatives?”,Donald Young,"In Press, Corrected Proof, Available online 15 May 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
The ESG stopping effect: Do investor reactions differ across the lifespan of ESG initiatives?,"Shannon Garavaglia, Ben W. Van Landuyt, Brian J. White, Julie Irwin","In Press, Corrected Proof, Available online 3 February 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Standing on the shoulders of giants: Financial reporting comparability and knowledge accumulation,"Kevin Tseng, Rong (Irene) Zhong","In Press, Corrected Proof, Available online 17 February 2024",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
Mandatory financial information disclosure and credit ratings,"Steven Vanhaverbeke, Benjamin Balsmeier, Thorsten Doherr","In Press, Corrected Proof, Available online 7 February 2024",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
