Title,Authors,Publication Date,Journallink,Journal
Equity Incentive Plans and Board of Director Discretion over Equity Grants,BRIAN CADMAN; RICHARD CARRIZOSA,12 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12532,Journal of Accounting Research
Bank Supervision and Organizational Capital: The Case of Minority Lending,BYEONGCHAN AN; ROBERT BUSHMAN; ANYA KLEYMENOVA; RIMMY E. TOMY,5 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12529,Journal of Accounting Research
How Does Management Voluntary Disclosure Behavior Influence Auditors’ Judgments?,SEAN M. HILLISON; KAMBER D. VITTORI,5 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12531,Journal of Accounting Research
The Real Effects of Supply Chain Transparency Regulation: Evidence from Section 1502 of the Dodd–Frank Act,BOK BAIK; OMRI EVEN-TOV; RUSSELL HAN; DAVID PARK,29 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12530,Journal of Accounting Research
"Wrong Kind of Transparency? Mutual Funds’ Higher Reporting Frequency, Window Dressing, and Performance",XIANGANG XIN; P. ERIC YEUNG; ZILONG ZHANG,20 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12527,Journal of Accounting Research
Economics of Information Search and Financial Misreporting,JUNG MIN KIM,14 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12528,Journal of Accounting Research
Payment Practices Transparency and Customer‐Supplier Dynamics,JODY GREWAL; ADITYA MOHAN; GERARDO PÉREZ-CAVAZOS,7 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12521,Journal of Accounting Research
Earnings News and Over‐the‐Counter Markets,STEFAN J. HUBER; CHONGHO KIM; EDWARD M. WATTS,7 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12522,Journal of Accounting Research
Fraud Power Laws,EDWIGE CHEYNEL; DAVIDE CIANCIARUSO; FRANK S. ZHOU,30 December 2023,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12520,Journal of Accounting Research
Occupational Licensing and Minority Participation in Professional Labor Markets,ANDREW G. SUTHERLAND; MATTHIAS UCKERT; FELIX W. VETTER,12 December 2023,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12518,Journal of Accounting Research
Oligarchy in professional accounting bodies: Challenges for governance and leader‐member relations,Conor Clune; Paul Andon,13 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1911-3846.12946,Contemporary Accounting Research (CAR)
"Accounting and silence: The unspeakable, the unsaid, and the inaudible",Caecilia Drujon d'Astros; Jérémy Morales; Bernard Leca,10 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1911-3846.12944,Contemporary Accounting Research (CAR)
Shareholder perceptions of external tax advisors in corporate tax planning,Michael P. Donohoe; Brian T. Gale; Michael A. Mayberry,10 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1911-3846.12945,Contemporary Accounting Research (CAR)
CAR Ad Hoc Reviewers 2023/RCC Réviseurs ad hoc 2023,,6 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1911-3846.12939,Contemporary Accounting Research (CAR)
Data analytics strategy and internal information quality,Katie W. Lem,4 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1911-3846.12942,Contemporary Accounting Research (CAR)
AMERICAN FINANCE ASSOCIATION,,15 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jofi.13145,The Journal of Finance
Report of the 2024 Annual Membership Meeting,,15 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jofi.13326,The Journal of Finance
"Report of the Executive Secretary and Treasurer for the Fiscal Year Ending June 30, 2023",,15 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jofi.13327,The Journal of Finance
BRATTLE GROUP AND DIMENSIONAL FUND ADVISORS PRIZES FOR 2023,,15 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jofi.13328,The Journal of Finance
Report of the Editor of The Journal of Finance for the Year 2023,ANTOINETTE SCHOAR,15 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jofi.13329,The Journal of Finance
